field,ra,dec,f560w_uJy,f560w_uJy_err,f770w_uJy,f770w_uJy_err,f1000w_uJy,f1000w_uJy_err,f1280w_uJy,f1280w_uJy_err,f1500w_uJy,f1500w_uJy_err,f1800w_uJy,f1800w_uJy_err,f2100w_uJy,f2100w_uJy_err,ID,z_best,zbest,RA,DEC,IRAC_CH1_FLUX,IRAC_CH1_FLUXERR,IRAC_CH2_FLUX,IRAC_CH2_FLUXERR,IRAC_CH3_FLUX,IRAC_CH3_FLUXERR,IRAC_CH4_FLUX,IRAC_CH4_FLUXERR,IRAC_CH3_V08_FLUX,IRAC_CH3_V08_FLUXERR,Source,z,l_IRAC_58,f_IRAC_58,l_IRAC_80,f_IRAC_80,l_MIPS24,f_MIPS24,l_MIPS70,f_MIPS70,l_PACS_100,f_PACS_100,l_PACS_160,f_PACS_160,l_SPIRE_250,f_SPIRE_250,l_SPIRE_350,f_SPIRE_350,l_SPIRE_500,f_SPIRE_500
miri6,215.060621,52.900873,0.072,0.025,,,,,,,,,,,,,1468,1.415,1.415,215.0606578047,52.9008932175,0.638938904,0.135153055,0.727731943,0.166311875,-0.443182081,0.882335246,-0.00837393291,0.859374881,-1.01327538,1.05557919,1468,1.42,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.061606,52.901508,0.156,0.072,0.123,0.038,,,,,,,,,,,1498,1.51,1.51,215.0616145648,52.9015066671,1.00094295,0.147305787,0.918003976,0.182285339,-0.0705062449,0.99715966,0.84576726,0.975563228,-0.551963151,1.20263505,1498,1.51,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.061722,52.900933,,,11.319,4.177,,,,,,,,,,,1507,1.99,1.99,215.0618055077,52.9009383481,8.25133419,0.16056332,11.4266596,0.200138018,15.5254736,1.06565154,10.3459949,1.03627419,18.2933483,1.28119922,1507,1.99,0.0,0.0,0.0,0.0,23.844,188.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.06133,52.902007,0.177,0.037,0.093,0.021,,,,,,,,,,,1601,0.887,0.887,215.0613593449,52.9020296904,0.550555408,0.147674054,0.372557402,0.182285339,1.00320303,1.0394634,-0.890777171,1.0184797,1.11601305,1.28119922,1601,0.89,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.051372,52.895525,0.114,0.025,0.062,0.019,,,,,,,,,,,1665,1.681,1.681,215.0514079676,52.8955450824,0.209174231,0.130733892,0.168191105,0.162083611,-0.65067184,0.866219521,-0.299368113,0.829019427,-0.930682361,1.02737665,1665,1.68,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.059689,52.901586,0.038,0.015,0.018,0.012,,,,,,,,,,,1683,1.743,1.743,215.0597192449,52.9016003949,0.325545788,0.128524303,0.296448588,0.157855347,0.721178114,0.868233979,0.312975764,0.849954307,0.576136708,1.03342009,1683,1.74,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.047826,52.893208,0.084,0.05,0.047,0.03,,,,,,,,,,,1735,0.325,0.325,215.0478681823,52.8932295341,0.358689606,0.13110216,0.263562053,0.158794954,-1.04147792,0.813843429,-1.45811117,0.784009516,-1.47055864,0.944783628,1735,0.33,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.057116,52.89952,0.072,0.033,,,,,,,,,,,,,1759,0.212,0.212,215.0571095322,52.8995601737,0.816810608,0.129997373,0.577863336,0.161613807,-0.459297806,0.866219521,-0.0722251758,0.800757349,-1.2368809,1.01327538,1759,0.21,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.058642,52.901514,0.048,0.021,0.032,0.014,,,,,,,,,,,1789,2.814,2.814,215.0586864438,52.9015254716,1.06244314,0.127051249,0.728671551,0.156445935,0.392820477,0.886364162,-0.872982621,0.854141235,-0.016115712,1.05356467,1789,2.81,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.05041,52.895704,0.058,0.026,0.057,0.017,,,,,,,,,,,1815,1.422,1.422,215.0504443412,52.8957292205,0.189287946,0.128156036,0.206245542,0.159264773,-0.241735682,0.864205062,-0.119328551,0.8175053,-0.388791561,1.02334774,1815,1.42,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
