field,ra,dec,f560w_uJy,f560w_uJy_err,f770w_uJy,f770w_uJy_err,f1000w_uJy,f1000w_uJy_err,f1280w_uJy,f1280w_uJy_err,f1500w_uJy,f1500w_uJy_err,f1800w_uJy,f1800w_uJy_err,f2100w_uJy,f2100w_uJy_err,ID_EGSF22,F36,F45,ZA,ID_EGSFIR,Mstar,Fch1,dFch1,Fch2,dFch2,Fch3,dFch3,Fch4,dFch4,F24,dF24,Q24,F100,dF100,Q100,F160,dF160,Q160,F250,dF250,F350,dF350,F450,dF450,F500,dF500,F850_sh,dF850_sh,F850_d,dF850_d,F850,dF850,F1100,dF1100
miri6,215.060621,52.900873,0.072,0.025,,,,,,,,,,,,,3833.0,421.38870271263255,561.2081144584647,3.559999999999968,1468,8.53,0.6389,0.1352,0.7277,0.1663,-0.4432,0.8823,0.2976,0.8836,30.09,18.857,1,2.9066,1.6118,3,7.3687,5.072,3,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.061606,52.901508,0.156,0.072,0.123,0.038,,,,,,,,,,,3948.0,732.7310685762508,1045.2330849988034,1.420000000000001,1498,9.02,1.001,0.1473,0.918,0.1823,-0.07051,0.9972,0.6029,0.9781,81.69,41.196,2,2.0739,4.3617,3,1.3133,7.1144,3,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.061722,52.900933,,,11.319,4.177,,,,,,,,,,,3886.0,10616.072185618717,16548.84324213505,1.9100000000000015,1507,10.7,8.251,0.1606,11.43,0.2001,15.53,1.066,11.2,1.045,157.9,15.793,3,2.0334,4.1787,3,4.4148,7.033,3,14.927,3.2131,14.022,4.3942,6.5607,3.3629,9.4357,8.3289,1.3646,1.2106,3.2067,0.64516,2.8661,0.57153,-99.0,100000000.0
miri6,215.06133,52.902007,0.177,0.037,0.093,0.021,,,,,,,,,,,4166.0,691.9781884060602,503.32864279863304,1.1300000000000008,1601,8.55,0.5506,0.1477,0.3726,0.1823,1.003,1.039,-0.6908,1.009,18.69,37.81,2,1.5846,3.2334,3,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.051372,52.895525,0.114,0.025,0.062,0.019,,,,,,,,,,,4268.0,248.0356640917604,327.70956885797716,1.8200000000000014,1665,8.76,0.2092,0.1307,0.1682,0.1621,-0.6507,0.8662,-0.2316,0.8577,1.414,14.225,2,-99.0,100000000.0,1,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.059689,52.901586,0.038,0.015,0.018,0.012,,,,,,,,,,,4352.0,311.2025180813187,300.6591648711754,1.310000000000001,1683,8.92,0.3255,0.1285,0.2964,0.1579,0.7212,0.8682,0.2523,0.8771,4.239,15.386,2,1.552,2.2795,2,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.047826,52.893208,0.084,0.05,0.047,0.03,,,,,,,,,,,4423.0,372.8681387089163,382.53842071042413,0.4100000000000002,1735,7.29,0.3587,0.1311,0.2636,0.1588,-1.041,0.8138,-1.384,0.8448,9.201,14.581,1,-99.0,100000000.0,1,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.057116,52.89952,0.072,0.033,,,,,,,,,,,,,4559.0,-268.0535625328455,448.81206753533513,0.48000000000000026,1759,7.3,0.8168,0.13,0.5779,0.1616,-0.4593,0.8662,0.2432,0.8513,12.85,14.88,1,-99.0,100000000.0,1,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.058642,52.901514,0.048,0.021,0.032,0.014,,,,,,,,,,,4574.0,274.55782106719045,-120.48363464719272,2.7899999999999845,1789,9.62,1.062,0.1271,0.7287,0.1564,0.3928,0.8864,-1.057,0.8797,10.87,15.141,3,-99.0,100000000.0,1,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.05041,52.895704,0.058,0.026,0.057,0.017,,,,,,,,,,,4672.0,237.36531171874267,354.8672730189639,0.38000000000000017,1815,8.48,0.1893,0.1282,0.2062,0.1593,-0.2417,0.8642,-0.03234,0.85,12.0,12.381,2,-0.1251,1.0811,2,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.05664,52.898458,15.891,0.064,8.136,0.049,,,,,,,,,,,4681.0,30343.22050426529,20824.49593869667,0.6100000000000003,1832,10.5,25.36,0.1425,17.42,0.1776,14.05,0.9327,6.698,0.9263,7.227,18.275,3,-99.0,100000000.0,1,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.059807,52.90258,0.161,0.027,0.045,0.019,,,,,,,,,,,4740.0,408.8179075317183,303.53187557629906,2.339999999999994,1855,8.29,0.5126,0.1414,0.3322,0.1738,-0.8682,1.048,0.5628,1.005,25.09,26.689,1,0.1078,1.3341,3,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.054131,52.89869,0.03,0.018,0.017,0.013,,,,,,,,,,,4728.0,588.4254669567047,210.38317750953655,0.8700000000000006,1857,7.96,0.5642,0.1396,0.08457,0.1738,-0.7232,1.003,0.4166,0.9793,11.49,15.032,1,1.5819,1.6172,2,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.059406,52.902936,0.029,0.015,0.017,0.012,,,,,,,,,,,4936.0,448.74399825635203,126.79808782826143,0.5500000000000003,1971,9.29,0.5929,0.1344,0.466,0.164,1.682,1.001,0.02976,0.969,21.89,26.17,1,-99.0,100000000.0,1,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
