Field,RA_tphot,Dec_tphot,RA_egs,Dec_egs
miri6,215.040446,52.891757,215.299365,53.063145
miri6,215.011364,52.905286,215.132316,52.963676
miri6,215.011364,52.905286,214.758777,52.698678
miri6,215.015239,52.912741,214.850607,52.766549
miri6,215.015239,52.912741,214.766633,52.706624
miri6,215.006257,52.910447,214.87507,52.78513
miri3,214.982092,52.903493,214.759281,52.70831
miri3,214.982092,52.903493,215.201978,53.023213
miri2,215.065853,52.966051,215.199211,53.022217
miri1,215.186307,53.05181,214.951395,52.847171
miri2,215.074137,52.973012,215.062774,52.926785
miri2,215.074137,52.973012,214.792381,52.735003
miri1,215.155853,53.035202,214.724707,52.688853
miri2,215.079403,52.981879,215.099974,52.95542
miri1,215.149026,53.03152,214.807901,52.748868
miri1,215.155853,53.035202,215.210962,53.034651
miri2,215.065248,52.977093,215.052613,52.925068
miri2,215.065248,52.977093,215.045978,52.920405
miri3,214.982764,52.922105,214.779492,52.732276
miri2,215.080918,52.994509,214.948395,52.855075
miri2,215.075702,52.99408,215.096755,52.961468
miri2,215.075702,52.99408,214.878608,52.806994
miri2,215.079681,52.997888,215.2308,53.056289
miri2,215.065196,52.996272,214.841402,52.785437
miri3,214.965975,52.9295,214.710074,52.692861
miri2,215.065046,52.999254,215.227863,53.06046
miri3,214.965975,52.9295,215.150131,53.005877
miri3,214.975293,52.938623,215.195298,53.038689
miri3,214.975293,52.938623,215.061035,52.943866
miri3,214.969671,52.935658,215.051026,52.937693
miri6,215.040446,52.891757,215.117933,53.02271
miri6,215.015239,52.912741,214.940671,52.892458
miri6,215.006257,52.910447,214.708668,52.726452
miri2,215.065853,52.966051,215.09805,53.000934
miri1,215.186307,53.05181,214.888821,52.853119
miri1,215.161224,53.037513,215.111662,53.010386
miri1,215.161224,53.037513,215.012543,52.940328
miri2,215.079403,52.981879,215.089735,52.99845
miri1,215.149026,53.03152,214.723007,52.73399
miri3,214.982764,52.922105,214.994723,52.926394
miri2,215.080918,52.994509,214.986741,52.920477
miri2,215.079681,52.997888,214.66903,52.693185
miri2,215.065196,52.996272,215.191688,53.062813
miri2,215.065046,52.999254,214.878873,52.841408
miri3,214.969671,52.935658,214.795706,52.781731
miri3,214.951873,52.928259,215.059415,52.968205
miri3,214.951873,52.928259,214.840475,52.812879
